D_INTERVIEW	B_COUNTRY	H_URBRURAL	S_INTLANGUAGE	Q260	X003R	Q266	Q267	Q268	Q272	Q275	Q288	Q289
410071141	South Korea	Urban	Korean	Male	45-54 years	South Korea	South Korea	South Korea	Korean	Upper secondary education (ISCED 3)	5.0	Do not belong to a denomination
762071092	Tajikistan	Rural	Tajik	Male	25-34 years	Tajikistan	Tajikistan	Tajikistan	Tajik	Upper secondary education (ISCED 3)	5.0	Muslim
276070362	Germany	Urban	German	Female	16-24 years	Germany	Turkey	Turkey	German	Upper secondary education (ISCED 3)	4.0	Do not belong to a denomination
558070066	Nicaragua	Urban	Spanish; Castilian	Female	45-54 years	Nicaragua	Nicaragua	Nicaragua	Spanish; Castilian	Primary education (ISCED 1)	1.0	Other Christian (Evangelical/Pentecostal/Fee church/etc.)
528070685	Netherlands	Urban	Dutch; Flemish	Female	45-54 years	Netherlands	Netherlands	Netherlands	1190			Protestant
642070849	Romania	Urban	Romanian, Moldavian, Moldovan	Female	16-24 years	Romania	Romania	Romania	Romanian, Moldavian, Moldovan	Upper secondary education (ISCED 3)	5.0	Orthodox (Russian/Greek/etc.)
558070127	Nicaragua	Urban	Spanish; Castilian	Female	45-54 years	Nicaragua	Nicaragua	Nicaragua	Spanish; Castilian	Primary education (ISCED 1)	1.0	Roman Catholic
528071289	Netherlands	Urban	Dutch; Flemish	Female	55-64 years	Netherlands	Netherlands	Netherlands	1190	Bachelor or equivalent (ISCED 6)		Protestant
360073023	Indonesia	Rural	Indonesian	Female	45-54 years	Indonesia	Indonesia	Indonesia	Other	Primary education (ISCED 1)	10.0	Roman Catholic
196070808	Cyprus	Urban	Turkish	Female	16-24 years	Cyprus	Turkey	Turkey	Turkish	Bachelor or equivalent (ISCED 6)	5.0	Muslim
300070097	Greece	Urban	Greek, Modern	Female	35-44 years	Bulgaria	Bulgaria	Bulgaria	Greek, Modern	Upper secondary education (ISCED 3)	2.0	Orthodox (Russian/Greek/etc.)
360072900	Indonesia	Urban	Indonesian	Male	16-24 years	Indonesia	Indonesia	Indonesia	Indonesian	Lower secondary education (ISCED 2)	4.0	Muslim
203070116	Czechia	Urban	Czech	Female	65 and over	Czech Rep.	Czech Rep.	Czech Rep.	Czech	Lower secondary education (ISCED 2)	6.0	Do not belong to a denomination
704070482	Vietnam	Rural	Vietnamese	Female	35-44 years	Vietnam	Vietnam	Vietnam	Vietnamese	Upper secondary education (ISCED 3)	4.0	Do not belong to a denomination
528071948	Netherlands	Rural	Dutch; Flemish	Female	55-64 years	Netherlands	Netherlands	Netherlands	1190	Master or equivalent (ISCED 7)	3.0	Protestant
360072315	Indonesia	Urban	Indonesian	Female	45-54 years	Indonesia	Indonesia	Indonesia	Javanese	Upper secondary education (ISCED 3)	5.0	Muslim
566070592	Nigeria	Urban	English	Female	16-24 years	Nigeria	Nigeria	Nigeria	Yoruba	Upper secondary education (ISCED 3)	5.0	Muslim
368071016	Iraq	Urban	Arabic	Female	35-44 years	Iraq	Iraq	Iraq	Arabic	Primary education (ISCED 1)	3.0	Muslim
762070670	Tajikistan	Rural	Tajik	Male	45-54 years	Tajikistan	Tajikistan	Tajikistan	Tajik	Upper secondary education (ISCED 3)	4.0	Muslim
826071163	Great Britain	Urban	English	Female	25-34 years	United Kingdom			English	Upper secondary education (ISCED 3)	10.0	Do not belong to a denomination
762070549	Tajikistan	Rural	Tajik	Female	35-44 years	Tajikistan	Tajikistan	Tajikistan	Tajik	Upper secondary education (ISCED 3)	5.0	Do not belong to a denomination
392071191	Japan	Urban	Japanese	Female	25-34 years	Japan	Japan	Japan	Japanese	Upper secondary education (ISCED 3)	1.0	Do not belong to a denomination
840073559	United States	Urban	English	Female	45-54 years	United States	United States	Philippines	English	Upper secondary education (ISCED 3)	5.0	Protestant
196070867	Cyprus	Rural	Turkish	Male	55-64 years	Cyprus	Turkey	Turkey	Turkish		7.0	Muslim
704070156	Vietnam	Rural	Vietnamese	Female	35-44 years	Vietnam	Vietnam	Vietnam	Vietnamese	Upper secondary education (ISCED 3)	6.0	Do not belong to a denomination
51070651	Armenia	Urban	Armenian; Hayeren	Female	55-64 years	Armenia	Armenia	Armenia	Armenian; Hayeren	Short-cycle tertiary education (ISCED 5)	4.0	Orthodox (Russian/Greek/etc.)
398070361	Kazakhstan	Rural	Russian	Female	45-54 years	Kazakhstan	Uzbekistan	Uzbekistan	Uzbek	Master or equivalent (ISCED 7)	6.0	Muslim
364071666	Iran	Urban	Persian; Farsi; Dari	Female	16-24 years	Iran	Iran	Iran	Persian; Farsi; Dari	Post-secondary non-tertiary education (ISCED 4)	5.0	Muslim
643071757	Russia	Urban	Russian	Female	65 and over	Russia	Russia	Russia	Russian	Upper secondary education (ISCED 3)	3.0	Orthodox (Russian/Greek/etc.)
762070680	Tajikistan	Rural	Tajik	Female	55-64 years	Tajikistan	Tajikistan	Tajikistan	Tajik	Upper secondary education (ISCED 3)	7.0	Muslim
862070409	Venezuela	Urban	Spanish; Castilian	Male	25-34 years	Venezuela	Venezuela	Venezuela	Spanish; Castilian	Bachelor or equivalent (ISCED 6)	5.0	Roman Catholic
360070016	Indonesia	Rural	Indonesian	Female	25-34 years	Indonesia	Indonesia	Indonesia	Indonesian	Bachelor or equivalent (ISCED 6)	5.0	Muslim
434071087	Libya	Urban	Arabic	Female	35-44 years	Libya	Libya	Libya	Arabic	Upper secondary education (ISCED 3)	4.0	Muslim
68071802	Bolivia	Urban	Spanish; Castilian	Male	16-24 years	Bolivia	Bolivia	Bolivia	Spanish; Castilian	Upper secondary education (ISCED 3)	5.0	Roman Catholic
862071145	Venezuela	Urban	Spanish; Castilian	Female	35-44 years	Venezuela	Venezuela	Venezuela	Spanish; Castilian	Master or equivalent (ISCED 7)	2.0	Roman Catholic
716070562	Zimbabwe	Rural	Shona;chiShona	Male	35-44 years	Zimbabwe	Zimbabwe	Zimbabwe	Shona;chiShona	Lower secondary education (ISCED 2)	3.0	Roman Catholic
104070271	Myanmar	Urban	Burmese	Male	45-54 years	Myanmar	Myanmar	Myanmar	Burmese	Lower secondary education (ISCED 2)	6.0	Buddhist
392070199	Japan	Urban	Japanese	Male	45-54 years	Japan	Japan	Japan	Japanese	Short-cycle tertiary education (ISCED 5)	2.0	Do not belong to a denomination
68071223	Bolivia	Urban	Spanish; Castilian	Male	16-24 years	Bolivia	Bolivia	Bolivia	Spanish; Castilian	Upper secondary education (ISCED 3)	5.0	Protestant
344070719	Hong Kong SAR	Urban	Cantonese	Male	35-44 years	Hong Kong SAR	Hong Kong SAR	Hong Kong SAR	Cantonese	Master or equivalent (ISCED 7)	7.0	Protestant
156071989	China	Urban	Standard Chinese; Mandarin; Putonghua; Guoyu	Male	35-44 years				Other Chinese dialects	Bachelor or equivalent (ISCED 6)	9.0	Do not belong to a denomination
804071053	Ukraine	Urban	Ukrainian	Female	65 and over	Ukraine	Ukraine	Ukraine	Ukrainian	Short-cycle tertiary education (ISCED 5)	3.0	Orthodox (Russian/Greek/etc.)
446070948	Macao SAR	Urban	Standard Chinese; Mandarin; Putonghua; Guoyu	Female		Macau SAR	China	China	Cantonese		5.0	Other Christian (Evangelical/Pentecostal/Fee church/etc.)
76070856	Brazil	Urban	Portuguese	Female	16-24 years	Brazil	Brazil	Brazil	Portuguese	Upper secondary education (ISCED 3)	4.0	Other
826072535	Great Britain	Urban	English	Female	45-54 years	Italy			English	Upper secondary education (ISCED 3)	6.0	Roman Catholic
764071205	Thailand	Rural	Thai; Central Thai	Female	25-34 years	Thailand	Thailand	Thailand	Thai; Central Thai	Bachelor or equivalent (ISCED 6)	5.0	Buddhist
276070944	Germany	Rural	German	Male	45-54 years	Germany	Germany	Germany	German	Upper secondary education (ISCED 3)	5.0	Protestant
231070918	Ethiopia	Urban	Amharic	Male	45-54 years	Ethiopia	Ethiopia	Ethiopia	Amharic	Bachelor or equivalent (ISCED 6)	4.0	Muslim
702070018	Singapore	Urban	Standard Chinese; Mandarin; Putonghua; Guoyu	Female	65 and over	Malaysia	Malaysia	Malaysia	Other Chinese dialects	Lower secondary education (ISCED 2)	3.0	Protestant
826071925	Great Britain	Rural	English	Female		United Kingdom			English			Other Christian (Evangelical/Pentecostal/Fee church/etc.)
764070048	Thailand	Urban	Thai; Central Thai	Male	25-34 years	Thailand	Thailand	Thailand	Thai; Central Thai	Bachelor or equivalent (ISCED 6)	5.0	Buddhist
558071011	Nicaragua	Rural	Spanish; Castilian	Male	16-24 years	Nicaragua	Nicaragua	Nicaragua	Spanish; Castilian	Lower secondary education (ISCED 2)	5.0	Do not belong to a denomination
156071307	China	Urban	Standard Chinese; Mandarin; Putonghua; Guoyu	Male	35-44 years				Other Chinese dialects	Bachelor or equivalent (ISCED 6)	4.0	Do not belong to a denomination
702071227	Singapore	Urban	English	Female	35-44 years	Malaysia	Malaysia	Malaysia	English	Bachelor or equivalent (ISCED 6)	7.0	Buddhist
862071059	Venezuela	Urban	Spanish; Castilian	Female	45-54 years	Venezuela	Venezuela	Venezuela	Spanish; Castilian	Upper secondary education (ISCED 3)	1.0	Protestant
528070596	Netherlands	Urban	Dutch; Flemish	Female	65 and over							
20070933	Andorra	Urban	Catalan; Valencian	Male	35-44 years	Andorra	Andorra	Brazil	Spanish; Castilian	Master or equivalent (ISCED 7)	7.0	Roman Catholic
862070359	Venezuela	Urban	Spanish; Castilian	Female	35-44 years	Venezuela	Venezuela	Venezuela	Spanish; Castilian	Upper secondary education (ISCED 3)	3.0	Do not belong to a denomination
364071818	Iran	Rural	Persian; Farsi; Dari	Female	35-44 years	Iran	Iran	Iran	Gilaki	Post-secondary non-tertiary education (ISCED 4)	6.0	Muslim
840072952	United States	Urban	English	Male	55-64 years	United States	United States	United States	English	Bachelor or equivalent (ISCED 6)	8.0	Protestant
586071223	Pakistan	Rural	Urdu	Female	25-34 years	Pakistan	Pakistan	Pakistan	Punjabi, Panjabi	Upper secondary education (ISCED 3)	1.0	Muslim
484070675	Mexico	Urban	Spanish; Castilian	Male	55-64 years	Mexico	Mexico	Mexico	Spanish; Castilian	Lower secondary education (ISCED 2)	3.0	Roman Catholic
462070064	Maldives	Rural	1105	Female	25-34 years	462	462	462	1105	Lower secondary education (ISCED 2)	7.0	Muslim
818070136	Egypt	Urban	Arabic	Female	16-24 years	Egypt	Egypt	Egypt	Arabic	Lower secondary education (ISCED 2)	4.0	Muslim
826072582	Great Britain	Urban	English	Male	45-54 years	United Kingdom			English	Master or equivalent (ISCED 7)	4.0	Protestant
826072464	Great Britain	Rural	English	Female	35-44 years	United Kingdom			English	Lower secondary education (ISCED 2)	3.0	Do not belong to a denomination
50070121	Bangladesh	Urban	Bengali; Bangla	Female	25-34 years	Bangladesh	Bangladesh	Bangladesh	Bengali; Bangla	Lower secondary education (ISCED 2)	3.0	Muslim
158070622	Taiwan RO	Urban	Standard Chinese; Mandarin; Putonghua; Guoyu	Female	35-44 years	Taiwan ROC	Taiwan ROC	Taiwan ROC	Hokkien; Minnan	Bachelor or equivalent (ISCED 6)	4.0	Other
604070040	Peru	Urban	Spanish; Castilian	Female	65 and over	Peru	Peru	Peru	Spanish; Castilian	Primary education (ISCED 1)	3.0	Roman Catholic
156071970	China	Rural	Standard Chinese; Mandarin; Putonghua; Guoyu	Female	55-64 years				Other Chinese dialects	Upper secondary education (ISCED 3)	4.0	Do not belong to a denomination
434071126	Libya	Urban	Arabic	Male	45-54 years	Libya	Libya	Libya	Arabic	Master or equivalent (ISCED 7)	2.0	Muslim
688070864	Serbia	Urban	Serbian	Male	65 and over	Serbia	Serbia	Serbia	Serbian	Post-secondary non-tertiary education (ISCED 4)	7.0	Orthodox (Russian/Greek/etc.)
20070790	Andorra	Urban	Catalan; Valencian	Male	65 and over	Spain	Spain	Spain	Catalan; Valencian	Short-cycle tertiary education (ISCED 5)	3.0	Roman Catholic
50070148	Bangladesh	Rural	Bengali; Bangla	Female	45-54 years	Bangladesh	Bangladesh	Bangladesh	Bengali; Bangla	Early childhood education (ISCED 0) / no education	4.0	Muslim
608070218	Philippines	Urban	Filipino; Pilipino	Female	16-24 years	Philippines	Philippines	Philippines	Filipino; Pilipino	Upper secondary education (ISCED 3)	5.0	Roman Catholic
804070248	Ukraine	Urban	Ukrainian	Female	35-44 years	Ukraine	Ukraine	Ukraine	Russian	Master or equivalent (ISCED 7)	7.0	Orthodox (Russian/Greek/etc.)
630070986	Puerto Rico	Urban	Spanish; Castilian	Female	16-24 years	Puerto Rico	Puerto Rico	Puerto Rico	Spanish; Castilian	Bachelor or equivalent (ISCED 6)	7.0	Roman Catholic
344070776	Hong Kong SAR	Urban	Cantonese	Male	55-64 years	Hong Kong SAR	China	China	Cantonese	Upper secondary education (ISCED 3)	4.0	Do not belong to a denomination
124071014	Canada	Urban	French	Female	65 and over	Canada	Canada	Canada	French	Post-secondary non-tertiary education (ISCED 4)	9.0	Roman Catholic
50070346	Bangladesh	Urban	Bengali; Bangla	Male	45-54 years	Bangladesh	Bangladesh	Bangladesh	Bengali; Bangla	Early childhood education (ISCED 0) / no education	3.0	Muslim
360070061	Indonesia	Rural	Indonesian	Male	25-34 years	Indonesia	Indonesia	Indonesia	Other	Bachelor or equivalent (ISCED 6)	4.0	Muslim
158070026	Taiwan RO	Urban	Standard Chinese; Mandarin; Putonghua; Guoyu	Female	25-34 years	Taiwan ROC	Taiwan ROC	Taiwan ROC	Standard Chinese; Mandarin; Putonghua; Guoyu	Bachelor or equivalent (ISCED 6)	5.0	Do not belong to a denomination
826070572	Great Britain	Urban	English	Female	55-64 years	United Kingdom			English	Lower secondary education (ISCED 2)	4.0	Protestant
826071707	Great Britain	Urban	English	Male		United Kingdom			English	Lower secondary education (ISCED 2)	4.0	Do not belong to a denomination
68071172	Bolivia	Urban	Spanish; Castilian	Male	16-24 years	Bolivia	Bolivia	Bolivia	Spanish; Castilian	Short-cycle tertiary education (ISCED 5)	8.0	Do not belong to a denomination
496070195	Mongolia	Urban	Mongolian	Female	25-34 years	Mongolia	Mongolia	Mongolia	Mongolian	Short-cycle tertiary education (ISCED 5)	3.0	Do not belong to a denomination
218071026	Ecuador	Rural	Spanish; Castilian	Male	45-54 years	Ecuador	Ecuador	Ecuador	Spanish; Castilian	Primary education (ISCED 1)	10.0	Roman Catholic
360072828	Indonesia	Rural	Indonesian	Female	16-24 years	Indonesia	Indonesia	Indonesia	Makassarese	Primary education (ISCED 1)	1.0	Muslim
642071333	Romania	Urban	Romanian, Moldavian, Moldovan	Female	25-34 years	Romania	Moldova	Romania	Romanian, Moldavian, Moldovan	Upper secondary education (ISCED 3)	5.0	Orthodox (Russian/Greek/etc.)
360070537	Indonesia	Rural	Indonesian	Male	35-44 years	Indonesia	Indonesia	Indonesia	Indonesian	Upper secondary education (ISCED 3)	5.0	Muslim
392070472	Japan	Urban	Japanese	Male	55-64 years	Japan	Japan	Japan	Japanese	Bachelor or equivalent (ISCED 6)	6.0	Buddhist
152070870	Chile	Urban	Spanish; Castilian	Male	35-44 years	Chile	Chile	Chile	Spanish; Castilian	Master or equivalent (ISCED 7)	9.0	Roman Catholic
398071170	Kazakhstan	Urban	Kazakh	Female	25-34 years	Kazakhstan	Kazakhstan	Kazakhstan	Kazakh	Master or equivalent (ISCED 7)	7.0	Muslim
704070475	Vietnam	Rural	Vietnamese	Female	35-44 years	Vietnam	Vietnam	Vietnam	Vietnamese	Lower secondary education (ISCED 2)	5.0	Do not belong to a denomination
528071000	Netherlands	Urban	Dutch; Flemish	Male	55-64 years	Morocco	Netherlands	Netherlands	1190	Bachelor or equivalent (ISCED 6)	10.0	Do not belong to a denomination
158071000	Taiwan RO	Rural	Standard Chinese; Mandarin; Putonghua; Guoyu	Female	35-44 years	Taiwan ROC	Taiwan ROC	Taiwan ROC	Standard Chinese; Mandarin; Putonghua; Guoyu	Bachelor or equivalent (ISCED 6)	1.0	Do not belong to a denomination
392070832	Japan	Urban	Japanese	Female	65 and over	Japan	Japan	Japan	Japanese	Lower secondary education (ISCED 2)	4.0	Do not belong to a denomination
703070881	Slovakia	Rural	Slovak	Male	25-34 years	Slovakia	Ukraine	Slovakia	Slovak	Master or equivalent (ISCED 7)	5.0	Roman Catholic
504070239	Morocco	Rural	Arabic	Female	16-24 years	Morocco	Morocco	Morocco	Arabic	Post-secondary non-tertiary education (ISCED 4)	9.0	Muslim
124070461	Canada	Urban	French	Male	25-34 years	Canada	Canada	Canada	French	Post-secondary non-tertiary education (ISCED 4)	7.0	Do not belong to a denomination
231071104	Ethiopia	Rural	Amharic	Male	16-24 years	Ethiopia	Ethiopia	Ethiopia	Amharic	Bachelor or equivalent (ISCED 6)	5.0	Muslim
76071173	Brazil	Urban	Portuguese	Female	35-44 years	Brazil	Brazil	Brazil	Portuguese	Upper secondary education (ISCED 3)	3.0	Roman Catholic
643070099	Russia	Rural	Russian	Male	16-24 years	Russia	Russia	Russia	Russian	Lower secondary education (ISCED 2)	2.0	
158070737	Taiwan RO	Urban	Standard Chinese; Mandarin; Putonghua; Guoyu	Female	35-44 years	Taiwan ROC	Taiwan ROC	Taiwan ROC	Other	Upper secondary education (ISCED 3)	3.0	Other
36070723	Australia	Urban	English	Female	35-44 years	Australia	Australia	Australia	English	Upper secondary education (ISCED 3)	6.0	Do not belong to a denomination
276070742	Germany	Urban	German	Male	55-64 years	Germany	Germany	Germany	German	Master or equivalent (ISCED 7)	8.0	Protestant
104070201	Myanmar	Rural	Burmese	Male	16-24 years	Myanmar	Myanmar	Myanmar	Burmese	Lower secondary education (ISCED 2)	5.0	Buddhist
840073384	United States	Rural	English	Male	55-64 years	United States	United States	United States	English	Post-secondary non-tertiary education (ISCED 4)	3.0	Roman Catholic
51070467	Armenia	Rural	Armenian; Hayeren	Female	25-34 years	Armenia	Armenia	Armenia	Armenian; Hayeren	Bachelor or equivalent (ISCED 6)	7.0	Orthodox (Russian/Greek/etc.)
124073540	Canada	Urban	English	Male	65 and over	Canada	Canada	Canada	English	Master or equivalent (ISCED 7)	5.0	Do not belong to a denomination
484070863	Mexico	Urban	Spanish; Castilian	Female	16-24 years	Mexico	Mexico	Mexico	Spanish; Castilian	Post-secondary non-tertiary education (ISCED 4)	5.0	Roman Catholic
156071138	China	Urban	Standard Chinese; Mandarin; Putonghua; Guoyu	Female	55-64 years				Other Chinese dialects	Primary education (ISCED 1)	4.0	Do not belong to a denomination
554070404	New Zealand	Urban	English	Male	65 and over	New Zealand	New Zealand	New Zealand	English	Short-cycle tertiary education (ISCED 5)	1.0	Other Christian (Evangelical/Pentecostal/Fee church/etc.)
702071507	Singapore	Urban	English	Female	25-34 years	Malaysia	Malaysia	Malaysia	Standard Chinese; Mandarin; Putonghua; Guoyu	Bachelor or equivalent (ISCED 6)	5.0	Protestant
32070360	Argentina	Urban	Spanish; Castilian	Female	25-34 years	Argentina	Argentina	Argentina	Spanish; Castilian	Lower secondary education (ISCED 2)		Roman Catholic
462070493	Maldives	Rural	1105	Female	25-34 years	462	462	462	1105	Lower secondary education (ISCED 2)	6.0	Muslim
