question_id	question_text	dimension	ground_truth_f_statistic	gpt_f_statistic	ground_truth_p_value	gpt_p_value
Q186	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is sex before marriage?	Religion	6.824	0.133	0.0	0.999
Q186	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is sex before marriage?	Continent	17.566	2.032	0.0	0.073
Q182	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is homosexuality?	Sex	2.085	0.928	0.15	0.336
Q182	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is homosexuality?	Religion	4.236	12.368	0.0	0.0
Q182	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is homosexuality?	Continent	22.055	16.733	0.0	0.0
Q164	On a scale of 1 to 5, 1 meaning 'Not at all important' and 5 meaning 'Very important',  how important do you think God is in your life?	Sex	1.187	0.182	0.277	0.67
Q164	On a scale of 1 to 5, 1 meaning 'Not at all important' and 5 meaning 'Very important',  how important do you think God is in your life?	Religion	9.489	232.349	0.0	0.0
Q164	On a scale of 1 to 5, 1 meaning 'Not at all important' and 5 meaning 'Very important',  how important do you think God is in your life?	Continent	13.757	2.063	0.0	0.069
Q245	On a scale of 1 to 5, 1 meaning 'Not an essential characteristic of democracy' and 5 meaning 'An essential characteristic of democracy', how essential do you think the following scenario is as a characteristic of democracy: The army takes over when government is incompetent?	Sex	0.624	3.39	0.43	0.066
Q245	On a scale of 1 to 5, 1 meaning 'Not an essential characteristic of democracy' and 5 meaning 'An essential characteristic of democracy', how essential do you think the following scenario is as a characteristic of democracy: The army takes over when government is incompetent?	Religion	1.926	4.555	0.047	0.0
Q245	On a scale of 1 to 5, 1 meaning 'Not an essential characteristic of democracy' and 5 meaning 'An essential characteristic of democracy', how essential do you think the following scenario is as a characteristic of democracy: The army takes over when government is incompetent?	Continent	7.746	1.129	0.0	0.344
Q195	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is the death penalty?	Sex	0.245	1.646	0.621	0.2
Q195	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is the death penalty?	Religion	1.743	6.114	0.078	0.0
Q195	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is the death penalty?	Continent	5.519	6.023	0.0	0.0
Q188	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is euthanasia?	Sex	0.019	0.029	0.891	0.865
Q188	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is euthanasia?	Religion	3.468	8.299	0.0	0.0
Q188	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is euthanasia?	Continent	12.942	8.388	0.0	0.0
Q185	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is divorce?	Sex	1.004	6.95	0.317	0.009
Q185	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is divorce?	Religion	2.823	1.389	0.003	0.191
Q185	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is divorce?	Continent	16.891	3.704	0.0	0.003
