Continent	Sex	Religion	D_INTERVIEW	Question_Col	Question Text	Ground Truth	LLAMA Score	LLAMA Explanation	LLAMA No Demography Score
Asia	Female	Protestant	344070372	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	4	As a young woman living in an urban area of Hong Kong, I may have some concerns about personal safety, especially at night. However, since I am from a religious Protestant background and have grown up in this city, I have learned to navigate the streets confidently and avoid situations that may feel unsafe.	
Asia	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	458070093	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	4	As a female living in a rural area in Malaysia, Person X may feel more vulnerable at night due to potential security risks, especially since she belongs to an evangelical Christian community that is relatively smaller in size compared to other religious groups in the area. Therefore, she may be more cautious and prefer to stay indoors at night to avoid any potential danger.	
Asia	Female	Hindu	458071097	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	4	As a Hindu woman living in urban Malaysia, I may avoid going out at night due to concerns about safety and potential harassment, but I do not entirely avoid it for security reasons.	
Europe	Male	Muslim	196070896	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	3	According to the provided demographics, Person X is a middle-aged Muslim man born in Turkey, who currently resides and was interviewed in Cyprus. Given the set of demographics, it's less likely for him to prefer not going out at night for security reasons as they might not be aware of the area or have any past experiences, so the score is a 3.	
Europe	Male	Orthodox (Russian/Greek/etc.)	300070423	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	3	Based on their demographics and the fact that they reside in a rural area, it is likely that Person X may feel comfortable in their community and have a low likelihood of experiencing security issues while out at night, therefore scoring a 3 on the scale.	
Europe	Male	Do not belong to a denomination	528071819	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	3	As a 35-44 years old male living in a rural area of the Netherlands, and with a background of not belonging to any religious denomination, I would rate my preference to go out at night for security reasons as a 3 out of 5. While I have not experienced any security issues in my current location, I do exercise caution when out at night and try to avoid poorly lit or deserted areas.	
Europe	Male	Do not belong to a denomination	203070818	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	4	As a male living in an urban area of Czechia, I feel relatively safe walking alone at night. However, I can understand why some people might feel uncomfortable due to petty theft or minor criminal activities.	
Europe	Male	Roman Catholic	20070823	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	3	Person X, being a 55-64 year old male from an urban area in Andorra, has probably had a secure upbringing and may not have had many issues with safety at night, rating this a 3 on the 1-5 scale.	
Europe	Male	Protestant	528070776	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	2	As an older male living in an urban area with a relatively high income and a Protestant background, I do not feel concerned about going out at night for security reasons. However, I might exercise caution when walking alone in poorly lit areas.	
Europe	Male	Hindu	20070304	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	4	Due to potential religious persecution concerns	
Europe	Male	Hindu	20070694	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	4	As a male Hindu from India living in an urban area with a higher income, I feel relatively secure in my surroundings during nighttime. However, I might be more cautious when going out alone at night in unfamiliar areas or poorly lit streets.	
Europe	Male	Hindu	300070057	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	4	With a background in Bangladesh and living in Greece, Person X might have experienced some security concerns, especially in urban areas at night, thus preferring to stay indoors.	
Europe	Female	Muslim	196070550	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	4	As a married woman living in a rural area in Cyprus, Person X may feel concerned about her personal safety and security, especially at night, due to the prevalent gender role stereotypes and patriarchal cultural norms, thus answering 4 on the security scale.	
Europe	Female	Muslim	196070589	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	3	As a young female living in a rural area in Cyprus, I might feel a bit uncomfortable venturing out at night due to potential safety concerns, but I would not entirely avoid going out for security reasons. Therefore, I would score a 3 on this scale.	
Europe	Female	Other	528071171	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	3	As a 55-64 year old, middle-class, female Dutch person born and raised in Netherlands, I have not experienced a strong need to avoid going out at night for security reasons, thus scoring a 3 on this question.	
Europe	Female	Orthodox (Russian/Greek/etc.)	196070317	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	3	As a 35-44 year old female living in a rural area of Cyprus, I have felt secure in my community and have not been concerned about going out at night for security reasons. However, I may be more vigilant when traveling to unfamiliar places.	
Europe	Female	Do not belong to a denomination	528071788	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	3	Person X sensibly explains that they believe the crime rate is higher in their local area which is why they prefer to stay home at night	
Europe	Female	Roman Catholic	20070476	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	4	Person X has not experienced feeling unsafe at night, judging from their urban dwelling settlement and LinkedIn profile they appear to belong to the middle class.	
Europe	Female	Protestant	276070168	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	4	As a 65+ Male living in Urban Germany, with Protestant denomination, and Upper secondary education background, I personally prefer to stay indoors at night due to the fear of potential mugging incidents.	
Europe	Female	Protestant	276071398	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	3	According to her demographics, as a 45-54 years old female born and raised in Germany, and with a Bachelor's degree, it is likely that Person X values security and safety, hence giving a score of 3 (neutral) when it comes to preferences for going out at night.	
South America	Male	Other	32070925	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	3	Person X, being a young male in rural Argentina, may have concerns about personal safety and security during nighttime, hence may prefer to stay indoors for security reasons, scoring a 3 on the scale.	
South America	Male	Other	604071267	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	3	As a young male living in an urban area of Peru, I typically feel safe when out at night, but there have been some instances where I have preferred to stay in for security reasons, so I would rate my answer as a 3.	
South America	Male	Do not belong to a denomination	32070119	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	4	Security reasons might be a concern for men in urban areas with medical, research and tertiary occupations who have upper secondary education and an income between 50k to 100k.	
South America	Male	Roman Catholic	68070764	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	4	Very unlikely. As a young man in an urban settlement in Bolivia, with a low-middle income, and pursuing higher studies, he feels secure in his community, and ventures out at night for work and leisure.	
South America	Male	Protestant	152070464	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	4	Nearly every night, I don't feel safe going out because of the lack of street lighting and potential pickpocketing or robberies.	
South America	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	68070882	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	3	Person X has probably experienced security concerns while venturing out during nighttime, especially in Bolivia where the crime rate is relatively high, especially in urban areas.	
South America	Female	Do not belong to a denomination	218070031	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	3	As a rural woman in Ecuador with a bachelor's degree and an income of $300, I have had experiences where I have felt unsafe while out at night, but I would not say that I avoid going out at night for security reasons. I would score a 3 on this question.	
South America	Female	Roman Catholic	218070833	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	2	A score of 2 means that Person X seldom feels unsafe to go out at night due to security reasons upto 30 words.	
South America	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	68070819	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	2	Likely to feel concerned about security at night, but not to the point of avoiding going out entirely.	
South America	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	170079257	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	4	Living in a city with high crime rates, Person X has had several experiences of being victims of theft and burglary, making them vigilant and apprehensive about venturing out at night even if they need to.	
Africa	Male	Muslim	504070944	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	4	As a Muslim male living in an urban Moroccan setting, I often prefer to avoid going out at night due to safety concerns, especially in areas with a high crime rate.	
Africa	Male	Do not belong to a denomination	404070061	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	2	Slightly concerned about safety when out at night due to high crime rates in urban areas.	
Africa	Male	Roman Catholic	716070025	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	4	As a male in an urban settlement in Zimbabwe, Person X tends to be more cautious and security-conscious, answering 4 out of 5 that they have preferred not to go out at night for security reasons.	
Africa	Female	Roman Catholic	716070264	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	2	Sometimes, as a woman in a rural area, I avoid going out at night because of safety concerns	
Africa	Female	Protestant	404070377	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	4	As a young woman living in Nairobi, Kenya, and being born in Kenya to parents who were also born in Kenya, I have generally felt safe in my neighborhood. However, due to recent reports of increased criminal activity prevalence at night and the desire to stay safe, I have been reducing my night time outdoor activities, and would rate my reluctance to go out at night as a 4 on a scale of 1 to 5.	
Africa	Female	Protestant	404070641	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	4	As a female living in a rural area of Kenya, where the prevalence of crime is relatively high, and with a low level of education, Person X may be more likely to feel unsafe at night and therefore prefer to stay indoors.	
Africa	Female	Protestant	404070240	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	3	As a 35-44 year-old, English-speaking, Protestant female from urban Kenya, I feel relatively safe in my community, but I still exercise caution at night due to the potential for mugging or other crimes. Therefore, I would rate my preference for going out at night a 3 on a scale of 1 to 5.	
North America	Male	Other	124070670	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	3	Person X might answer 3 because they were born and raised in Canada, reside in an urban area, and have upper secondary education, indicating a relatively high socio-economic status. However, their Toronto residence suggests a higher crime rate may influence their preference for going out at night for security reasons.	
North America	Male	Orthodox (Russian/Greek/etc.)	124072716	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	3	As a male born in India, living in Canada, and with a Master's degree, Person X is likely to have a relatively high level of education and income, which may reduce their likelihood of feeling insecure while going out at night. However, as an Orthodox Christian, they may have conservative values and prefer to avoid going out at night for personal or religious reasons. Therefore, they would probably answer '3' on the scale of 1 to 5.	
North America	Male	Orthodox (Russian/Greek/etc.)	124073119	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	4	With a Middle Eastern background and religious affiliation to Orthodox Christianity, Person X might feel cautious while venturing out at night due to potential social and religious misfits.	
North America	Male	Roman Catholic	630071159	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	4	As a middle-aged male living in an urban area of Puerto Rico, Person X may have a relatively low concern for security when going out at night due to a relatively low crime rate in their area, but they may still have some concerns about their personal safety, hence a score of 4.	
North America	Male	Buddhist	124072751	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	4	As a young male in urban Canada, Person X is unlikely to feel insecure at night and is more likely to be out and about. Their Cantonese background may make them more aware of potential security concerns in certain areas, but given their description as highly educated with a bachelor's degree, they are likely to take necessary precautions to stay safe.	
North America	Male	Buddhist	124072876	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	3	As a male youth with an upper secondary education from Sri Lanka, residing in an urban area of Canada, I have not faced many issues with night security. However, I have taken some precautions like avoiding deserted areas and using well-lit routes.	
North America	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	840071997	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	4	As a young male born and raised in the US, with an urban background, I have not had to face many security concerns at night.	
North America	Female	Other	124075343	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	2	As a young Canadian woman with a post-secondary education and urban upbringing, I feel relatively safe in my community, but have occasionally avoided going out at night due to minor safety concerns.	
North America	Female	Do not belong to a denomination	840071309	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	3	As a young, urban, English-speaking American woman with a bachelor's degree and a household income of $40,000, Person X is unlikely to have experienced a lack of security while going out at night.	
North America	Female	Do not belong to a denomination	124072466	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	3	As a female who lives in an urban area and has a higher education background, and is of Christian religion, I feel relatively safe navigating the streets at night.	
North America	Female	Roman Catholic	630070237	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	3	As a 35-44-year-old female born and raised in the United States but currently living in Puerto Rico, I sometimes feel cautious when going out at night due to concerns about safety and security, but it hasn't limited my social activities significantly.	
North America	Female	Protestant	124071212	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	4	Person X, being a woman living in an urban area of Canada, might feel relatively safe to go out at night, but still experience some apprehension due to past experiences or general concerns about personal safety, thereby scoring a 4 on the scale.	
North America	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	840073428	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	3	Slightly, as a senior living in a rural area, I might feel less secure navigating unfamiliar nighttime environments.	
Oceania	Male	Do not belong to a denomination	554070517	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	4	As a 65-year-old male from an urban setting in New Zealand, I feel relatively safe at night and have not experienced any security concerns that would prevent me from going out.	
Oceania	Male	Roman Catholic	36071260	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	3	Person X is unlikely to avoid going out at night for security reasons given their age, urban settlement, and educational background, but may have some concerns about safety, resulting in a score of 3.	
Oceania	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	554070432	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	3	As an elderly male residing in an urban area of New Zealand, I feel relatively safe while venturing out at night but do acknowledge occasional episodes of petty crimes, so I would rate it as a 3.	
Oceania	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	36071374	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	3	Person X, a 35-44-year-old male living in rural Australia, is unlikely to have concerns about their safety when going out at night, however, they may have experienced occasional incidents that have led them to be cautious.	
Oceania	Female	Roman Catholic	36071128	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	3	As a 25-34 year old female living in a rural area of Australia, Person X may have concerns about personal safety when venturing out in the evening, hence her response is a 3 on the security scale.	
Oceania	Female	Roman Catholic	36070857	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	3	As a woman, I sometimes prefer to stay home at night for safety reasons, but in Australia, I don't feel it's as much of an issue.	
Oceania	Female	Roman Catholic	36070392	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	2	As a 65+ years old female living in an urban area of Australia, I tend to prioritize safety and security. While I don't avoid going out at night completely, I do exercise caution and prefer to go out with friends or family members, assigning a score of 2.	
Oceania	Female	Protestant	36070651	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	4	As a woman living in a rural area of Australia, Person X may feel more vulnerable to crime at night and, therefore, prefer to stay indoors for safety reasons.	
Oceania	Female	Protestant	36070057	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	3	As a middle-aged, urban, English-speaking, Protestant woman born and raised in Australia, Person X is likely to feel secure in her surroundings and would only occasionally prefer not to go out at night for security reasons, scoring a 3 on the scale.	
Asia	Male	Muslim	586071618	Q22	On a scale of 1 to 5, 1 meaning 'No' and 5 meaning 'Definitely Yes',  would you be uncomfortable having homosexuals as neighbors?	5.0	3	He might have some reservations due to cultural and societal norms, but would not be opposed to having them as neighbors.	
Asia	Male	Orthodox (Russian/Greek/etc.)	398070993	Q22	On a scale of 1 to 5, 1 meaning 'No' and 5 meaning 'Definitely Yes',  would you be uncomfortable having homosexuals as neighbors?	5.0	4	As a male in a rural area of Kazakhstan, Person X may hold traditional values and beliefs about gender roles and sexuality, which could lead them to be uncomfortable with homosexuals as neighbors.	
Asia	Male	Orthodox (Russian/Greek/etc.)	422070663	Q22	On a scale of 1 to 5, 1 meaning 'No' and 5 meaning 'Definitely Yes',  would you be uncomfortable having homosexuals as neighbors?	1.0	3	Person X would be neutral to having homosexuals as neighbors, as they likely have exposure to and acceptance of diverse communities and cultures due to their urban upbringing in Lebanon.	
Asia	Male	Buddhist	410070871	Q22	On a scale of 1 to 5, 1 meaning 'No' and 5 meaning 'Definitely Yes',  would you be uncomfortable having homosexuals as neighbors?	5.0	3	As a practicing Buddhist and resident of South Korea, Person X is socially conservative and may hold reservations about having homosexuals as neighbors due to potential cultural or religious differences. However, they are likely to maintain a neutral and respectful stance, scoring a 3 on the discomfort scale.	
Asia	Male	Protestant	608070389	Q22	On a scale of 1 to 5, 1 meaning 'No' and 5 meaning 'Definitely Yes',  would you be uncomfortable having homosexuals as neighbors?	5.0	4	Somewhat uncomfortable, as homosexuality is not widely accepted in my culture and community.	
Asia	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	458070431	Q22	On a scale of 1 to 5, 1 meaning 'No' and 5 meaning 'Definitely Yes',  would you be uncomfortable having homosexuals as neighbors?	1.0	3	Moderately uncomfortable given the social stigma associated with homosexuality in Malaysia, even if they are respectful of others' privacy and lifestyle.	
Asia	Male	Hindu	702070906	Q22	On a scale of 1 to 5, 1 meaning 'No' and 5 meaning 'Definitely Yes',  would you be uncomfortable having homosexuals as neighbors?	1.0	3	Neutral, as long as they are respectful and keep to themselves, there should not be any discomfort.	
Asia	Female	Muslim	400070584	Q22	On a scale of 1 to 5, 1 meaning 'No' and 5 meaning 'Definitely Yes',  would you be uncomfortable having homosexuals as neighbors?	5.0	4	Person X, being a Muslim woman from Jordan, might be uncomfortable having homosexuals as neighbors due to cultural and religious beliefs.	
Asia	Female	Muslim	417070744	Q22	On a scale of 1 to 5, 1 meaning 'No' and 5 meaning 'Definitely Yes',  would you be uncomfortable having homosexuals as neighbors?	5.0	4	As a Muslim woman, Person X might have some reservations about having homosexuals as neighbors due to potential cultural or religious differences.	
Asia	Female	Do not belong to a denomination	704070621	Q22	On a scale of 1 to 5, 1 meaning 'No' and 5 meaning 'Definitely Yes',  would you be uncomfortable having homosexuals as neighbors?	5.0	4	Person X is likely to be neutral about having homosexuals as neighbors, as they belong to a traditional, rural society in Vietnam where such matters are not openly discussed.	
Asia	Female	Buddhist	410070123	Q22	On a scale of 1 to 5, 1 meaning 'No' and 5 meaning 'Definitely Yes',  would you be uncomfortable having homosexuals as neighbors?	5.0	4	Person X may be slightly uncomfortable having homosexuals as neighbors due to their traditional religious beliefs and societal norms in South Korea.	
Asia	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	458070487	Q22	On a scale of 1 to 5, 1 meaning 'No' and 5 meaning 'Definitely Yes',  would you be uncomfortable having homosexuals as neighbors?	5.0	3	Neutral. I do not see someone's sexual orientation as a limitation in being a good neighbor.	
Asia	Female	Hindu	50070141	Q22	On a scale of 1 to 5, 1 meaning 'No' and 5 meaning 'Definitely Yes',  would you be uncomfortable having homosexuals as neighbors?	5.0	4	Moderately uncomfortable, as it may lead to social taboo and peer pressure in a rural Bengali context.	
