Continent	Sex	Religion	D_INTERVIEW	Question_col
Asia	Female	Roman Catholic	608070424	Q140
Asia	Female	Roman Catholic	608071056	Q140
Asia	Female	Buddhist	702070362	Q140
Asia	Female	Buddhist	764071050	Q140
Asia	Female	Buddhist	104070810	Q140
Asia	Female	Buddhist	764070310	Q140
Asia	Female	Buddhist	704071148	Q140
Asia	Female	Protestant	344071765	Q140
Asia	Female	Protestant	410070541	Q140
Asia	Female	Protestant	344070372	Q140
Asia	Female	Protestant	410070754	Q140
Asia	Female	Protestant	344070484	Q140
Asia	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	608070858	Q140
Asia	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	446070647	Q140
Asia	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	458070078	Q140
Asia	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	458070093	Q140
Asia	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	458070840	Q140
Asia	Female	Hindu	360072392	Q140
Asia	Female	Hindu	50070887	Q140
Asia	Female	Hindu	702070961	Q140
Asia	Female	Hindu	458071097	Q140
Asia	Female	Hindu	50070605	Q140
Europe	Male	Muslim	643071087	Q140
Europe	Male	Muslim	196070608	Q140
Europe	Male	Muslim	196070896	Q140
Europe	Male	Muslim	196070773	Q140
Europe	Male	Muslim	196070897	Q140
Europe	Male	Other	804070500	Q140
Europe	Male	Other	528070183	Q140
Europe	Male	Other	643070061	Q140
Europe	Male	Other	276071320	Q140
Europe	Male	Other	528070613	Q140
Europe	Male	Orthodox (Russian/Greek/etc.)	300070233	Q140
Europe	Male	Orthodox (Russian/Greek/etc.)	643071007	Q140
Europe	Male	Orthodox (Russian/Greek/etc.)	688070121	Q140
Europe	Male	Orthodox (Russian/Greek/etc.)	51070184	Q140
Europe	Male	Orthodox (Russian/Greek/etc.)	300070423	Q140
Europe	Male	Do not belong to a denomination	276071504	Q140
Europe	Male	Do not belong to a denomination	528072126	Q140
Europe	Male	Do not belong to a denomination	528071819	Q140
Europe	Male	Do not belong to a denomination	203070450	Q140
Europe	Male	Do not belong to a denomination	203070818	Q140
Europe	Male	Roman Catholic	276070048	Q140
Europe	Male	Roman Catholic	20070420	Q140
Europe	Male	Roman Catholic	703070955	Q140
Europe	Male	Roman Catholic	20070823	Q140
Europe	Male	Roman Catholic	528071399	Q140
Europe	Male	Protestant	528070776	Q140
Europe	Male	Protestant	804071200	Q140
Europe	Male	Protestant	528070332	Q140
Europe	Male	Protestant	703070228	Q140
Europe	Male	Protestant	642070031	Q140
Europe	Male	Hindu	20070304	Q140
Europe	Male	Hindu	20070694	Q140
Europe	Male	Hindu	20070922	Q140
Europe	Male	Hindu	20070595	Q140
Europe	Male	Hindu	300070057	Q140
Europe	Female	Muslim	196070910	Q140
Europe	Female	Muslim	196070851	Q140
Europe	Female	Muslim	196070582	Q140
Europe	Female	Muslim	196070550	Q140
Europe	Female	Muslim	196070589	Q140
Europe	Female	Other	528071492	Q140
Europe	Female	Other	528072079	Q140
Europe	Female	Other	528071171	Q140
Europe	Female	Other	20070627	Q140
Europe	Female	Other	528070017	Q140
Europe	Female	Orthodox (Russian/Greek/etc.)	643070554	Q140
Europe	Female	Orthodox (Russian/Greek/etc.)	51071205	Q140
Europe	Female	Orthodox (Russian/Greek/etc.)	688070408	Q140
Europe	Female	Orthodox (Russian/Greek/etc.)	196070317	Q140
Europe	Female	Orthodox (Russian/Greek/etc.)	642070017	Q140
Europe	Female	Do not belong to a denomination	528070247	Q140
Europe	Female	Do not belong to a denomination	528071788	Q140
Europe	Female	Do not belong to a denomination	528070739	Q140
Europe	Female	Do not belong to a denomination	51070603	Q140
Europe	Female	Do not belong to a denomination	643070608	Q140
Europe	Female	Roman Catholic	804070158	Q140
Europe	Female	Roman Catholic	20070689	Q140
Europe	Female	Roman Catholic	203070195	Q140
Europe	Female	Roman Catholic	20070476	Q140
Europe	Female	Roman Catholic	203070097	Q140
Europe	Female	Protestant	276070168	Q140
Europe	Female	Protestant	276070444	Q140
Europe	Female	Protestant	276071398	Q140
Europe	Female	Protestant	528071434	Q140
Europe	Female	Protestant	528070485	Q140
South America	Male	Other	32070925	Q140
South America	Male	Other	32070578	Q140
South America	Male	Other	604071267	Q140
South America	Male	Other	218070849	Q140
South America	Male	Other	76071154	Q140
South America	Male	Do not belong to a denomination	32070241	Q140
South America	Male	Do not belong to a denomination	218071061	Q140
South America	Male	Do not belong to a denomination	170077238	Q140
South America	Male	Do not belong to a denomination	32070119	Q140
South America	Male	Do not belong to a denomination	152070573	Q140
South America	Male	Roman Catholic	152070858	Q140
South America	Male	Roman Catholic	218070931	Q140
South America	Male	Roman Catholic	68071914	Q140
South America	Male	Roman Catholic	152070100	Q140
South America	Male	Roman Catholic	68070764	Q140
South America	Male	Protestant	68072021	Q140
South America	Male	Protestant	68071405	Q140
South America	Male	Protestant	68070614	Q140
South America	Male	Protestant	170077106	Q140
South America	Male	Protestant	152070464	Q140
South America	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	604071131	Q140
South America	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	170075700	Q140
South America	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	68070882	Q140
South America	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	170071755	Q140
South America	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	170072185	Q140
South America	Female	Other	32070549	Q140
South America	Female	Other	152070802	Q140
South America	Female	Other	152070936	Q140
South America	Female	Other	152070809	Q140
South America	Female	Other	32070617	Q140
South America	Female	Do not belong to a denomination	170070663	Q140
South America	Female	Do not belong to a denomination	68071672	Q140
South America	Female	Do not belong to a denomination	218070031	Q140
South America	Female	Do not belong to a denomination	218070472	Q140
South America	Female	Do not belong to a denomination	862071080	Q140
South America	Female	Roman Catholic	218070833	Q140
South America	Female	Roman Catholic	76070957	Q140
South America	Female	Roman Catholic	604071353	Q140
South America	Female	Roman Catholic	76070968	Q140
South America	Female	Roman Catholic	604070869	Q140
South America	Female	Protestant	604071126	Q140
South America	Female	Protestant	68070653	Q140
South America	Female	Protestant	76071443	Q140
South America	Female	Protestant	152070670	Q140
South America	Female	Protestant	76070059	Q140
South America	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	68070819	Q140
South America	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	68071580	Q140
South America	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	170077747	Q140
South America	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	68070340	Q140
South America	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	170079257	Q140
Africa	Male	Muslim	504070944	Q140
Africa	Male	Muslim	434071115	Q140
Africa	Male	Muslim	504070453	Q140
Africa	Male	Muslim	788070513	Q140
Africa	Male	Muslim	818070655	Q140
Africa	Male	Orthodox (Russian/Greek/etc.)	231070547	Q140
Africa	Male	Orthodox (Russian/Greek/etc.)	231071137	Q140
Africa	Male	Orthodox (Russian/Greek/etc.)	231070900	Q140
Africa	Male	Orthodox (Russian/Greek/etc.)	231071066	Q140
Africa	Male	Orthodox (Russian/Greek/etc.)	231070434	Q140
Africa	Male	Do not belong to a denomination	716070468	Q140
Africa	Male	Do not belong to a denomination	404070061	Q140
Africa	Male	Do not belong to a denomination	716070832	Q140
Africa	Male	Do not belong to a denomination	716071137	Q140
Africa	Male	Do not belong to a denomination	716070392	Q140
Africa	Male	Roman Catholic	404071025	Q140
Africa	Male	Roman Catholic	404070969	Q140
Africa	Male	Roman Catholic	716070868	Q140
Africa	Male	Roman Catholic	716070200	Q140
Africa	Male	Roman Catholic	716070025	Q140
Africa	Male	Protestant	231070301	Q140
Africa	Male	Protestant	231070477	Q140
Africa	Male	Protestant	566070050	Q140
Africa	Male	Protestant	404070222	Q140
Africa	Male	Protestant	231070140	Q140
Africa	Female	Muslim	716071133	Q140
Africa	Female	Muslim	818070604	Q140
Africa	Female	Muslim	716070644	Q140
Africa	Female	Muslim	434070400	Q140
Africa	Female	Muslim	434070761	Q140
Africa	Female	Orthodox (Russian/Greek/etc.)	231070614	Q140
Africa	Female	Orthodox (Russian/Greek/etc.)	231070729	Q140
Africa	Female	Orthodox (Russian/Greek/etc.)	231070389	Q140
Africa	Female	Orthodox (Russian/Greek/etc.)	231071154	Q140
Africa	Female	Orthodox (Russian/Greek/etc.)	231070315	Q140
Africa	Female	Do not belong to a denomination	404070015	Q140
Africa	Female	Do not belong to a denomination	504070650	Q140
Africa	Female	Do not belong to a denomination	566071005	Q140
Africa	Female	Do not belong to a denomination	788070589	Q140
Africa	Female	Do not belong to a denomination	716071209	Q140
Africa	Female	Roman Catholic	716070264	Q140
Africa	Female	Roman Catholic	716070371	Q140
Africa	Female	Roman Catholic	404070229	Q140
Africa	Female	Roman Catholic	404071026	Q140
Africa	Female	Roman Catholic	716070915	Q140
Africa	Female	Protestant	231070491	Q140
Africa	Female	Protestant	566070467	Q140
Africa	Female	Protestant	404070377	Q140
Africa	Female	Protestant	404070641	Q140
Africa	Female	Protestant	404070240	Q140
North America	Male	Muslim	124071464	Q140
North America	Male	Muslim	124070797	Q140
North America	Male	Muslim	124074603	Q140
North America	Male	Muslim	124074264	Q140
North America	Male	Muslim	124071047	Q140
North America	Male	Other	124071687	Q140
North America	Male	Other	124075368	Q140
North America	Male	Other	124070670	Q140
North America	Male	Other	840071135	Q140
North America	Male	Other	124074936	Q140
North America	Male	Orthodox (Russian/Greek/etc.)	840071552	Q140
North America	Male	Orthodox (Russian/Greek/etc.)	124070933	Q140
North America	Male	Orthodox (Russian/Greek/etc.)	124074018	Q140
North America	Male	Orthodox (Russian/Greek/etc.)	124072716	Q140
North America	Male	Orthodox (Russian/Greek/etc.)	124073119	Q140
North America	Male	Do not belong to a denomination	558071091	Q140
North America	Male	Do not belong to a denomination	840072091	Q140
North America	Male	Do not belong to a denomination	124074816	Q140
North America	Male	Do not belong to a denomination	124070994	Q140
North America	Male	Do not belong to a denomination	124074159	Q140
North America	Male	Roman Catholic	630070382	Q140
North America	Male	Roman Catholic	124071470	Q140
North America	Male	Roman Catholic	630071159	Q140
North America	Male	Roman Catholic	630070802	Q140
North America	Male	Roman Catholic	124071224	Q140
North America	Male	Buddhist	124072751	Q140
North America	Male	Buddhist	840072719	Q140
North America	Male	Buddhist	124073268	Q140
North America	Male	Buddhist	124072131	Q140
North America	Male	Buddhist	124072876	Q140
North America	Male	Protestant	840073422	Q140
North America	Male	Protestant	484070955	Q140
North America	Male	Protestant	124072363	Q140
North America	Male	Protestant	840072038	Q140
North America	Male	Protestant	124075318	Q140
North America	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	558070461	Q140
North America	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	558070152	Q140
North America	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	840071997	Q140
North America	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	558070149	Q140
North America	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	840072978	Q140
North America	Male	Jew	840072222	Q140
North America	Male	Jew	124072322	Q140
North America	Male	Jew	124070522	Q140
North America	Male	Jew	124076065	Q140
North America	Male	Jew	840073186	Q140
North America	Female	Muslim	840072305	Q140
North America	Female	Muslim	124072768	Q140
North America	Female	Muslim	124073003	Q140
North America	Female	Muslim	124073243	Q140
North America	Female	Muslim	840072812	Q140
North America	Female	Other	124072983	Q140
North America	Female	Other	124072147	Q140
North America	Female	Other	124070712	Q140
North America	Female	Other	124075343	Q140
North America	Female	Other	124072867	Q140
North America	Female	Do not belong to a denomination	124072128	Q140
North America	Female	Do not belong to a denomination	840071309	Q140
North America	Female	Do not belong to a denomination	840071408	Q140
North America	Female	Do not belong to a denomination	840071736	Q140
North America	Female	Do not belong to a denomination	124072466	Q140
North America	Female	Roman Catholic	840071498	Q140
North America	Female	Roman Catholic	558070233	Q140
North America	Female	Roman Catholic	630070237	Q140
North America	Female	Roman Catholic	320070033	Q140
North America	Female	Roman Catholic	558070543	Q140
North America	Female	Buddhist	840071418	Q140
North America	Female	Buddhist	630070014	Q140
North America	Female	Buddhist	124072300	Q140
North America	Female	Buddhist	630070030	Q140
North America	Female	Buddhist	124072638	Q140
North America	Female	Protestant	630070716	Q140
North America	Female	Protestant	124074325	Q140
North America	Female	Protestant	124072193	Q140
North America	Female	Protestant	630070368	Q140
North America	Female	Protestant	124071212	Q140
North America	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	558070094	Q140
North America	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	840073428	Q140
North America	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	840072630	Q140
North America	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	630070759	Q140
North America	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	630070856	Q140
Oceania	Male	Do not belong to a denomination	554070629	Q140
Oceania	Male	Do not belong to a denomination	36071091	Q140
Oceania	Male	Do not belong to a denomination	36071046	Q140
Oceania	Male	Do not belong to a denomination	36071403	Q140
Oceania	Male	Do not belong to a denomination	554070517	Q140
Oceania	Male	Roman Catholic	36071745	Q140
Oceania	Male	Roman Catholic	36071474	Q140
Oceania	Male	Roman Catholic	36071765	Q140
Oceania	Male	Roman Catholic	36071260	Q140
Oceania	Male	Roman Catholic	36071073	Q140
Oceania	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	36070226	Q140
Oceania	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	554070432	Q140
Oceania	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	36070004	Q140
Oceania	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	36070722	Q140
Oceania	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	36071374	Q140
Oceania	Female	Do not belong to a denomination	36071682	Q140
Oceania	Female	Do not belong to a denomination	36071166	Q140
Oceania	Female	Do not belong to a denomination	36070343	Q140
Oceania	Female	Do not belong to a denomination	36070833	Q140
Oceania	Female	Do not belong to a denomination	36071426	Q140
Oceania	Female	Roman Catholic	36071128	Q140
Oceania	Female	Roman Catholic	36070857	Q140
Oceania	Female	Roman Catholic	36071640	Q140
Oceania	Female	Roman Catholic	36070584	Q140
Oceania	Female	Roman Catholic	36070392	Q140
Oceania	Female	Protestant	36070651	Q140
Oceania	Female	Protestant	36070879	Q140
Oceania	Female	Protestant	36070057	Q140
Oceania	Female	Protestant	36071001	Q140
Oceania	Female	Protestant	36070463	Q140
Oceania	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	554070359	Q140
Oceania	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	554070555	Q140
Oceania	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	554070237	Q140
Oceania	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	554070898	Q140
Oceania	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	554070399	Q140
Asia	Male	Muslim	586071782	Q22
Asia	Male	Muslim	360072728	Q22
Asia	Male	Muslim	586071618	Q22
Asia	Male	Muslim	50070403	Q22
Asia	Male	Muslim	368070899	Q22
Asia	Male	Other	158070310	Q22
Asia	Male	Other	158071133	Q22
Asia	Male	Other	702070954	Q22
Asia	Male	Other	158071183	Q22
Asia	Male	Other	158070732	Q22
Asia	Male	Orthodox (Russian/Greek/etc.)	398070993	Q22
Asia	Male	Orthodox (Russian/Greek/etc.)	398070594	Q22
Asia	Male	Orthodox (Russian/Greek/etc.)	398070165	Q22
Asia	Male	Orthodox (Russian/Greek/etc.)	398070558	Q22
Asia	Male	Orthodox (Russian/Greek/etc.)	422070663	Q22
Asia	Male	Do not belong to a denomination	392070208	Q22
Asia	Male	Do not belong to a denomination	496071513	Q22
Asia	Male	Do not belong to a denomination	496071527	Q22
Asia	Male	Do not belong to a denomination	704070738	Q22
Asia	Male	Do not belong to a denomination	392070317	Q22
Asia	Male	Roman Catholic	446070185	Q22
Asia	Male	Roman Catholic	764070730	Q22
Asia	Male	Roman Catholic	608071077	Q22
Asia	Male	Roman Catholic	608070573	Q22
Asia	Male	Roman Catholic	608071053	Q22
Asia	Male	Buddhist	410070871	Q22
Asia	Male	Buddhist	704070038	Q22
Asia	Male	Buddhist	104070615	Q22
Asia	Male	Buddhist	104070989	Q22
Asia	Male	Buddhist	704070808	Q22
Asia	Male	Protestant	410071081	Q22
Asia	Male	Protestant	608070591	Q22
Asia	Male	Protestant	702070315	Q22
Asia	Male	Protestant	608070389	Q22
Asia	Male	Protestant	158070941	Q22
Asia	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	458070132	Q22
Asia	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	458070935	Q22
Asia	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	458070707	Q22
Asia	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	458070431	Q22
Asia	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	458070597	Q22
Asia	Male	Hindu	50070708	Q22
Asia	Male	Hindu	360072442	Q22
Asia	Male	Hindu	360072382	Q22
Asia	Male	Hindu	702070906	Q22
Asia	Male	Hindu	702071262	Q22
Asia	Female	Muslim	400070572	Q22
Asia	Female	Muslim	400070584	Q22
Asia	Female	Muslim	422070356	Q22
Asia	Female	Muslim	462070727	Q22
Asia	Female	Muslim	417070744	Q22
Asia	Female	Other	158070387	Q22
Asia	Female	Other	158070156	Q22
Asia	Female	Other	158070260	Q22
Asia	Female	Other	158070320	Q22
Asia	Female	Other	392070441	Q22
Asia	Female	Orthodox (Russian/Greek/etc.)	398070149	Q22
Asia	Female	Orthodox (Russian/Greek/etc.)	398071275	Q22
Asia	Female	Orthodox (Russian/Greek/etc.)	398070102	Q22
Asia	Female	Orthodox (Russian/Greek/etc.)	422070610	Q22
Asia	Female	Orthodox (Russian/Greek/etc.)	398070464	Q22
Asia	Female	Do not belong to a denomination	704070621	Q22
Asia	Female	Do not belong to a denomination	344070265	Q22
Asia	Female	Do not belong to a denomination	702070667	Q22
Asia	Female	Do not belong to a denomination	392070140	Q22
Asia	Female	Do not belong to a denomination	156071188	Q22
Asia	Female	Roman Catholic	608070102	Q22
Asia	Female	Roman Catholic	608070760	Q22
Asia	Female	Roman Catholic	608070416	Q22
Asia	Female	Roman Catholic	608071070	Q22
Asia	Female	Roman Catholic	608070084	Q22
Asia	Female	Buddhist	410070123	Q22
Asia	Female	Buddhist	764071118	Q22
Asia	Female	Buddhist	344070554	Q22
Asia	Female	Buddhist	702071792	Q22
Asia	Female	Buddhist	764070700	Q22
Asia	Female	Protestant	702070698	Q22
Asia	Female	Protestant	410070492	Q22
Asia	Female	Protestant	702070821	Q22
Asia	Female	Protestant	360070204	Q22
Asia	Female	Protestant	344071371	Q22
Asia	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	458070100	Q22
Asia	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	458071091	Q22
Asia	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	458070048	Q22
Asia	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	458070487	Q22
Asia	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	458070078	Q22
Asia	Female	Hindu	458070062	Q22
Asia	Female	Hindu	50070660	Q22
Asia	Female	Hindu	50070605	Q22
Asia	Female	Hindu	50070141	Q22
Asia	Female	Hindu	360072434	Q22
Europe	Male	Muslim	196070773	Q22
Europe	Male	Muslim	826070411	Q22
Europe	Male	Muslim	196070871	Q22
Europe	Male	Muslim	196070915	Q22
Europe	Male	Muslim	196070890	Q22
Europe	Male	Other	276071320	Q22
Europe	Male	Other	528071951	Q22
Europe	Male	Other	528070613	Q22
Europe	Male	Other	804070500	Q22
Europe	Male	Other	528070183	Q22
Europe	Male	Orthodox (Russian/Greek/etc.)	688070181	Q22
Europe	Male	Orthodox (Russian/Greek/etc.)	643071626	Q22
Europe	Male	Orthodox (Russian/Greek/etc.)	300071084	Q22
Europe	Male	Orthodox (Russian/Greek/etc.)	804071264	Q22
Europe	Male	Orthodox (Russian/Greek/etc.)	642071317	Q22
Europe	Male	Do not belong to a denomination	203070187	Q22
Europe	Male	Do not belong to a denomination	703070393	Q22
Europe	Male	Do not belong to a denomination	826070636	Q22
Europe	Male	Do not belong to a denomination	203070491	Q22
Europe	Male	Do not belong to a denomination	51070604	Q22
Europe	Male	Roman Catholic	826070922	Q22
Europe	Male	Roman Catholic	20070811	Q22
Europe	Male	Roman Catholic	528072086	Q22
Europe	Male	Roman Catholic	826071272	Q22
Europe	Male	Roman Catholic	703070528	Q22
Europe	Male	Protestant	909070170	Q22
Europe	Male	Protestant	276071154	Q22
Europe	Male	Protestant	276071522	Q22
Europe	Male	Protestant	826072247	Q22
Europe	Male	Protestant	642070379	Q22
Europe	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	909070181	Q22
Europe	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	826071745	Q22
Europe	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	826071427	Q22
Europe	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	826071078	Q22
Europe	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	826071172	Q22
Europe	Male	Hindu	826070301	Q22
Europe	Male	Hindu	20070922	Q22
Europe	Male	Hindu	20070304	Q22
Europe	Male	Hindu	300070057	Q22
Europe	Male	Hindu	528072032	Q22
Europe	Female	Muslim	196070731	Q22
Europe	Female	Muslim	196070685	Q22
Europe	Female	Muslim	688070126	Q22
Europe	Female	Muslim	643070404	Q22
Europe	Female	Muslim	196070851	Q22
Europe	Female	Other	528071171	Q22
Europe	Female	Other	51071210	Q22
Europe	Female	Other	300070274	Q22
Europe	Female	Other	826072471	Q22
Europe	Female	Other	51070299	Q22
Europe	Female	Orthodox (Russian/Greek/etc.)	804071038	Q22
Europe	Female	Orthodox (Russian/Greek/etc.)	300070007	Q22
Europe	Female	Orthodox (Russian/Greek/etc.)	196070117	Q22
Europe	Female	Orthodox (Russian/Greek/etc.)	51070125	Q22
Europe	Female	Orthodox (Russian/Greek/etc.)	642070127	Q22
Europe	Female	Do not belong to a denomination	826070063	Q22
Europe	Female	Do not belong to a denomination	826070285	Q22
Europe	Female	Do not belong to a denomination	528070083	Q22
Europe	Female	Do not belong to a denomination	826070133	Q22
Europe	Female	Do not belong to a denomination	643070421	Q22
Europe	Female	Roman Catholic	826070046	Q22
Europe	Female	Roman Catholic	51070429	Q22
Europe	Female	Roman Catholic	276071437	Q22
Europe	Female	Roman Catholic	276070319	Q22
Europe	Female	Roman Catholic	703070662	Q22
Europe	Female	Protestant	203070352	Q22
Europe	Female	Protestant	703070679	Q22
Europe	Female	Protestant	276070618	Q22
Europe	Female	Protestant	528070167	Q22
Europe	Female	Protestant	276070778	Q22
Europe	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	826070386	Q22
Europe	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	826071095	Q22
Europe	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	826071017	Q22
Europe	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	826070050	Q22
Europe	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	826071925	Q22
South America	Male	Other	76070679	Q22
South America	Male	Other	152070932	Q22
South America	Male	Other	76070764	Q22
South America	Male	Other	32070548	Q22
South America	Male	Other	32070925	Q22
South America	Male	Do not belong to a denomination	604071129	Q22
South America	Male	Do not belong to a denomination	32070197	Q22
South America	Male	Do not belong to a denomination	76070070	Q22
South America	Male	Do not belong to a denomination	76070802	Q22
South America	Male	Do not belong to a denomination	170077384	Q22
South America	Male	Roman Catholic	76070417	Q22
South America	Male	Roman Catholic	862070321	Q22
South America	Male	Roman Catholic	170073627	Q22
South America	Male	Roman Catholic	218070111	Q22
South America	Male	Roman Catholic	170079124	Q22
South America	Male	Protestant	76071970	Q22
South America	Male	Protestant	68072012	Q22
South America	Male	Protestant	152070565	Q22
South America	Male	Protestant	170075357	Q22
South America	Male	Protestant	170072607	Q22
South America	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	170075529	Q22
South America	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	170073482	Q22
